date,pre,hum,tem,occ
04/06/2020 18:45,94397.03,49.35,31.44,M
04/06/2020 18:28,94393.59,51.75,31.49,M
25/05/2020 16:00,93940.99,52.46,32.32,M
25/05/2020 16:29,93903.85,50.79,32.18,M
29/05/2020 00:25,95140.24,45.94,31.85,M
25/05/2020 23:21,94133.59,50.58,32.45,M
31/05/2020 19:42,94941.93,54.85,29.91,M
25/05/2020 19:34,93762.94,45.05,32.54,M
31/05/2020 19:23,94852.52,47.68,30.81,H
15/05/2020 00:40,94339.57,60.6,30.36,M
25/05/2020 23:56,94299.81,51.99,31.42,H
15/05/2020 00:19,94354.86,58.98,30.98,M
31/05/2020 19:14,94840.71,48.11,30.94,H
14/05/2020 23:21,94349.5,59.25,31.01,M
24/05/2020 12:30,94258.47,52.89,31.43,M
25/05/2020 19:36,93773.69,44.26,32.55,M
25/05/2020 17:02,93879.31,48.24,32.28,M
14/05/2020 23:36,94365.87,58.75,31.02,H
04/06/2020 18:31,94391.51,50.68,31.5,M
29/05/2020 01:04,95322.86,43.77,31.34,M
26/05/2020 00:14,94349.71,54.88,31.19,M
01/06/2020 12:06,95210.14,58.39,29.6,M
25/05/2020 20:30,93882.76,45.18,32.58,M
14/05/2020 23:55,94372.16,58.16,30.89,H
24/05/2020 12:17,94252.29,53.28,31.49,M
24/05/2020 12:42,94247.7,54.71,31.62,M
24/05/2020 11:56,94254.86,53.91,31.64,H
14/05/2020 23:24,94359.61,59.71,31.06,H
14/05/2020 23:01,94331.09,56.5,30.92,M
24/05/2020 12:02,94261.35,53.78,31.66,M
04/06/2020 23:00,94590.58,56.66,31.85,M
04/06/2020 19:59,94437.75,53.77,31.61,M
25/05/2020 16:03,93936.81,52.25,32.43,M
29/05/2020 00:33,95150.07,48.4,31.86,M
04/06/2020 18:12,94393.1,54.94,31.47,M
15/05/2020 00:17,94354.03,59.67,30.73,M
01/06/2020 12:19,95207.13,59.19,29.24,M
01/06/2020 11:57,95213.36,58.81,29.31,M
04/06/2020 11:21,94694.95,60.46,30.61,M
25/05/2020 16:05,93931.5,51.97,32.43,M
14/05/2020 23:12,94345.12,56.81,31.01,M
04/06/2020 19:57,94436.86,53.63,31.58,M
04/06/2020 19:04,94405.46,47.48,31.41,M
25/05/2020 18:50,93778.89,48.45,32.39,M
29/05/2020 00:40,95140.84,47.7,31.65,M
25/05/2020 15:58,93940.06,52.77,32.27,M
25/05/2020 19:10,93758.3,49.05,32.47,M
04/06/2020 19:08,94403.31,49.01,31.41,M
24/05/2020 11:58,94256.51,53.89,31.65,H
15/05/2020 00:55,94331.25,61.06,30.44,M
04/06/2020 19:07,94401.57,48.21,31.39,M
04/06/2020 18:58,94401.48,48.17,31.41,M
04/06/2020 18:47,94400.26,49.69,31.42,M
04/06/2020 20:00,94442.19,53.81,31.61,M
04/06/2020 18:08,94389.19,55.35,31.54,M
25/05/2020 23:50,94251.88,51,31.81,H
04/06/2020 19:12,94395.29,50.64,31.43,M
04/06/2020 18:29,94394.43,51.93,31.49,M
01/06/2020 11:54,95210.62,58.91,29.19,M
31/05/2020 19:21,94841.94,47.9,30.87,H
31/05/2020 19:23,94848.96,47.71,30.81,H
04/06/2020 18:36,94392.28,50.13,31.44,M
04/06/2020 18:15,94392.81,54.68,31.48,M
04/06/2020 20:04,94448.25,53.99,31.6,M
14/05/2020 23:48,94374.78,57.94,30.9,H
25/05/2020 23:19,94136.39,50.35,32.56,M
29/05/2020 00:15,95122.22,44.5,31.79,M
15/05/2020 00:59,94328.7,60.97,30.57,M
25/05/2020 20:33,93888.69,45.63,32.56,M
29/05/2020 00:56,95239.47,45.97,31.47,M
14/05/2020 23:16,94347.91,57.57,31.1,M
04/06/2020 19:43,94422.35,53.86,31.55,M
25/05/2020 16:19,93912.71,50.27,32.21,M
14/05/2020 21:26,94273.08,55.4,30.88,M
04/06/2020 19:58,94440.26,53.67,31.61,M
14/05/2020 23:09,94347.24,56.88,31,M
29/05/2020 00:24,95141.74,45.9,31.8,M
29/05/2020 00:49,95229.55,45.91,31.55,M
04/06/2020 19:33,94411.64,53.08,31.51,M
25/05/2020 16:14,93909.39,50.78,32.28,M
25/05/2020 23:32,94177.53,51.91,32.62,M
25/05/2020 18:49,93777.86,48.6,32.37,M
31/05/2020 19:04,94828.18,48.18,30.67,H
04/06/2020 11:38,94689.24,60.14,30.69,M
04/06/2020 18:40,94393.09,50.29,31.49,M
15/05/2020 00:53,94331.75,61.22,30.42,M
29/05/2020 00:10,95105.17,42.01,32.03,M
24/05/2020 12:35,94258.59,52.84,31.39,M
29/05/2020 00:16,95121.84,44.58,31.86,M
24/05/2020 12:28,94261.95,53.04,31.36,M
24/05/2020 12:23,94257.75,52.98,31.42,M
14/05/2020 23:15,94350.69,57.33,31.06,M
25/05/2020 16:25,93909.97,50.6,32.14,M
25/05/2020 23:23,94141.52,50.75,32.56,M
04/06/2020 18:07,94392,55.3,31.61,M
14/05/2020 21:25,94271.18,55.27,30.91,M
04/06/2020 18:12,94393.46,54.85,31.47,M
14/05/2020 23:10,94347.39,56.81,31.01,M
24/05/2020 12:40,94249.12,53.66,31.6,M
14/05/2020 23:05,94338.33,56.51,30.93,M
24/05/2020 12:00,94256.62,53.87,31.67,M
24/05/2020 12:39,94248.34,53.39,31.58,M
04/06/2020 19:03,94403.57,47.56,31.43,M
15/05/2020 00:23,94351.29,59.8,30.6,M
25/05/2020 23:58,94302.61,52.05,31.54,H
01/06/2020 12:01,95214.34,58.58,29.44,M
01/06/2020 12:22,95201.39,58.96,29.34,M
25/05/2020 16:08,93933.28,51.4,32.4,M
25/05/2020 19:38,93779.14,44.33,32.55,M
04/06/2020 11:26,94691.57,60.06,30.64,M
26/05/2020 00:15,94350.48,55.2,31.14,M
25/05/2020 23:52,94272.37,51.46,31.46,H
31/05/2020 19:20,94841.38,47.96,30.88,H
01/06/2020 12:14,95212.37,58.9,29.23,M
15/05/2020 00:33,94340.2,60.8,30.34,M
26/05/2020 00:21,94348.45,55.41,31.36,M
24/05/2020 11:51,94256.79,53.81,31.59,H
01/06/2020 12:02,95213.05,58.67,29.46,M
04/06/2020 19:42,94420.14,53.76,31.56,M
29/05/2020 00:09,95063.91,42.48,32.14,M
15/05/2020 00:13,94354.93,59.51,30.74,H
01/06/2020 11:53,95211.18,58.77,29.2,M
25/05/2020 23:49,94246.58,50.77,31.86,H
04/06/2020 18:43,94397.82,48.1,31.48,M
01/06/2020 11:55,95212.13,58.81,29.21,M
14/05/2020 23:27,94354.78,59.06,31.01,H
29/05/2020 00:29,95168.84,47.78,31.82,M
14/05/2020 23:25,94358.58,59.15,31.03,H
15/05/2020 00:31,94343.59,60.54,30.36,M
24/05/2020 12:12,94251.2,53.6,31.64,M
