CLAVE,PUB_YEAR,CITED_DOCS,CITES_3Y,AFFILIATIONS,AUTHORS,INTL_AFIL,Q1Q2,BOOK,CHAPTER,CONFERENCE,JOURNAL,DOCS,CITE_SCORE,BASE_YEAR,YEAR_N
1,2007,1,2,10,22,0,4,0,0,0,4,4,0.5,2007,1
1,2008,2,2,11,23,2,2,0,0,0,5,5,0.4,2007,2
1,2009,1,2,6,14,1,1,0,0,0,2,2,1,2007,3
1,2010,6,6,32,59,18,6,0,0,0,8,8,0.75,2007,4
1,2011,0,0,3,5,0,1,0,0,0,1,1,0,2007,5
2,2007,0,0,4,8,0,2,0,0,0,2,2,0,2007,1
2,2008,1,2,14,21,0,2,0,1,3,2,6,0.333,2007,2
2,2009,3,3,15,25,1,3,0,1,3,2,6,0.5,2007,3
2,2010,0,0,14,22,0,1,0,0,3,2,5,0,2007,4
2,2011,0,0,7,9,0,1,0,0,1,1,2,0,2007,5
3,2007,2,2,10,21,7,3,0,0,0,3,3,0.667,2007,1
3,2008,1,3,8,14,2,3,0,0,0,3,3,1,2007,2
3,2009,2,2,24,31,19,2,0,0,1,2,3,0.667,2007,3
3,2010,3,3,8,18,3,2,0,0,0,3,3,1,2007,4
3,2011,1,5,4,9,2,1,0,0,0,1,1,5,2007,5
6,2007,3,5,9,18,1,3,0,0,4,3,7,0.714,2007,1
6,2008,5,8,21,30,4,1,0,0,5,4,9,0.889,2007,2
6,2009,4,3,17,20,7,3,0,1,4,3,8,0.375,2007,3
6,2010,4,5,11,20,4,1,0,0,4,2,6,0.833,2007,4
6,2011,1,2,8,11,3,1,0,0,3,1,4,0.5,2007,5
7,2007,2,2,6,20,1,3,0,0,0,3,3,0.667,2007,1
7,2008,5,6,25,82,2,4,0,0,0,14,14,0.429,2007,2
7,2009,6,7,14,43,0,7,0,0,0,7,7,1,2007,3
7,2010,5,9,30,82,0,7,0,1,5,7,13,0.692,2007,4
7,2011,1,2,19,51,0,5,0,2,0,5,7,0.286,2007,5
11,2007,1,1,2,6,0,0,0,0,0,1,1,1,2007,1
11,2008,1,2,14,29,0,5,0,0,0,5,5,0.4,2007,2
11,2009,0,0,11,31,0,3,0,0,0,4,4,0,2007,3
11,2010,2,1,13,23,2,3,0,0,0,3,3,0.333,2007,4
11,2011,1,3,8,14,2,1,0,0,0,2,2,1.5,2007,5
15,2007,4,9,7,20,0,0,0,2,1,3,6,1.5,2007,1
15,2008,3,6,5,14,1,2,0,0,0,3,3,2,2007,2
15,2009,2,4,14,27,1,2,0,4,0,2,6,0.667,2007,3
15,2010,1,2,3,14,0,0,0,1,1,1,3,0.667,2007,4
15,2011,3,8,4,19,0,1,0,0,0,4,4,2,2007,5
23,2007,0,0,2,4,0,0,0,0,0,1,1,0,2007,1
23,2008,2,2,20,49,3,2,0,0,0,9,9,0.222,2007,2
23,2009,1,1,8,28,0,1,0,0,0,5,5,0.2,2007,3
23,2010,1,1,8,26,0,1,0,0,0,4,4,0.25,2007,4
23,2011,1,1,17,39,2,0,0,0,0,8,8,0.125,2007,5
24,2007,4,4,16,42,5,2,1,3,4,3,11,0.364,2007,1
24,2008,4,7,17,35,7,1,3,3,0,2,8,0.875,2007,2
24,2009,4,6,16,31,7,4,0,1,3,5,9,0.667,2007,3
24,2010,3,5,13,34,3,7,0,3,1,6,10,0.5,2007,4
24,2011,2,2,13,36,3,2,1,1,4,3,9,0.222,2007,5
28,2007,2,3,3,12,1,2,0,0,0,2,2,1.5,2007,1
28,2008,1,1,9,22,4,3,0,0,0,4,4,0.25,2007,2
28,2009,3,4,6,24,1,3,0,0,0,4,4,1,2007,3
28,2010,1,1,1,6,0,0,0,0,0,1,1,1,2007,4
28,2011,2,3,6,25,1,3,0,0,0,4,4,0.75,2007,5
33,2007,4,8,12,16,2,5,0,3,2,2,7,1.143,2007,1
33,2008,4,15,10,13,2,3,0,0,2,3,5,3,2007,2
33,2009,5,16,14,17,4,3,0,3,2,1,6,2.667,2007,3
33,2010,4,7,25,46,4,2,0,3,8,1,12,0.583,2007,4
33,2011,1,3,13,21,3,2,0,3,2,1,6,0.5,2007,5
34,2007,0,0,1,4,0,1,0,0,0,1,1,0,2007,1
34,2008,1,1,3,12,0,2,0,0,0,2,2,0.5,2007,2
34,2009,4,4,7,30,0,4,0,0,0,5,5,0.8,2007,3
34,2010,1,1,4,14,0,2,0,0,0,2,2,0.5,2007,4
34,2011,1,1,1,8,0,1,0,0,0,1,1,1,2007,5
37,2007,9,13,49,79,20,10,0,0,1,11,12,1.083,2007,1
37,2008,4,12,13,23,4,4,0,0,0,4,4,3,2007,2
37,2009,5,13,15,26,5,5,0,0,0,5,5,2.6,2007,3
37,2010,5,8,27,45,8,6,0,0,1,6,7,1.143,2007,4
37,2011,4,14,28,44,10,7,0,0,0,7,7,2,2007,5
44,2007,0,0,2,5,1,0,0,0,1,0,1,0,2007,1
44,2008,1,1,16,28,2,2,0,0,4,2,6,0.167,2007,2
44,2009,1,1,9,21,0,1,0,0,4,1,5,0.2,2007,3
44,2010,2,3,12,20,0,3,0,0,1,3,4,0.75,2007,4
44,2011,0,0,2,4,0,0,0,0,1,0,1,0,2007,5
45,2007,4,8,11,20,4,4,0,2,2,2,6,1.333,2007,1
45,2008,1,3,9,18,1,1,0,0,4,2,6,0.5,2007,2
45,2009,1,2,4,5,1,2,0,2,0,0,2,1,2007,3
45,2010,4,4,19,33,3,8,0,8,1,2,11,0.364,2007,4
45,2011,1,1,11,18,2,5,0,3,1,2,6,0.167,2007,5
46,2007,5,4,9,19,0,1,0,0,1,4,5,0.8,2007,1
46,2008,1,2,11,22,5,4,0,0,0,4,4,0.5,2007,2
46,2009,0,0,4,7,0,1,0,1,0,1,2,0,2007,3
46,2010,1,1,2,3,0,1,0,0,0,1,1,1,2007,4
46,2011,2,2,8,17,3,2,0,0,2,2,4,0.5,2007,5
50,2007,4,4,28,48,18,1,0,0,8,2,10,0.4,2007,1
50,2008,7,25,26,42,16,6,0,0,3,7,10,2.5,2007,2
50,2009,2,2,37,71,23,3,0,0,11,3,14,0.143,2007,3
50,2010,6,15,37,73,20,4,0,0,8,6,14,1.071,2007,4
50,2011,7,17,30,66,16,7,0,0,5,7,12,1.417,2007,5
52,2007,0,0,10,36,3,1,0,0,6,1,7,0,2007,1
52,2008,1,1,8,32,2,3,0,0,2,3,5,0.2,2007,2
52,2009,0,0,3,12,1,0,0,0,2,0,2,0,2007,3
52,2010,1,1,6,30,0,0,0,0,3,2,5,0.2,2007,4
52,2011,0,0,5,20,0,0,0,0,1,2,3,0,2007,5
53,2007,1,1,1,3,0,1,0,0,0,1,1,1,2007,1
53,2008,0,0,1,4,0,0,0,0,0,1,1,0,2007,2
53,2009,0,0,5,7,2,2,0,0,0,2,2,0,2007,3
53,2010,0,0,3,5,0,0,0,1,0,0,1,0,2007,4
53,2011,1,2,2,5,1,1,0,0,0,1,1,2,2007,5
54,2007,1,1,6,26,0,0,0,0,1,2,3,0.333,2007,1
54,2008,1,2,8,41,0,1,0,0,0,4,4,0.5,2007,2
54,2009,0,0,8,24,0,1,0,0,0,3,3,0,2007,3
54,2010,3,3,9,42,0,3,0,2,0,4,6,0.5,2007,4
54,2011,0,0,6,21,3,1,0,0,1,2,3,0,2007,5
55,2007,0,0,2,4,0,1,0,0,0,1,1,0,2007,1
55,2008,1,2,14,24,1,5,0,0,0,5,5,0.4,2007,2
55,2009,1,1,11,21,1,1,0,2,1,1,4,0.25,2007,3
55,2010,1,4,9,19,0,1,0,0,2,1,3,1.333,2007,4
55,2011,1,1,5,12,1,1,0,0,1,1,2,0.5,2007,5
56,2007,2,3,5,18,0,2,0,0,0,2,2,1.5,2007,1
56,2008,0,0,5,15,1,2,0,0,0,2,2,0,2007,2
56,2009,0,0,3,5,2,1,0,0,0,1,1,0,2007,3
56,2010,1,1,4,7,1,1,0,0,0,1,1,1,2007,4
56,2011,1,4,6,12,2,2,0,0,0,2,2,2,2007,5
58,2007,0,0,5,15,1,2,0,0,1,3,4,0,2007,1
58,2008,5,5,19,51,1,8,0,0,0,10,10,0.5,2007,2
58,2009,1,1,34,84,3,7,0,0,0,16,16,0.063,2007,3
58,2010,3,3,26,57,1,6,0,2,0,8,10,0.3,2007,4
58,2011,3,4,13,28,1,4,0,0,0,5,5,0.8,2007,5
62,2007,1,1,2,8,1,1,0,0,0,1,1,1,2007,1
62,2008,1,1,9,18,2,1,0,0,0,2,2,0.5,2007,2
62,2009,3,5,13,33,2,3,0,0,0,5,5,1,2007,3
62,2010,1,1,2,4,0,1,0,0,0,1,1,1,2007,4
62,2011,0,0,2,5,0,0,0,0,0,1,1,0,2007,5
66,2007,2,1,8,20,1,3,0,0,0,4,4,0.25,2007,1
66,2008,0,0,4,11,1,1,0,0,1,1,2,0,2007,2
66,2009,0,0,7,17,1,0,0,0,2,1,3,0,2007,3
66,2010,1,1,13,36,2,1,0,0,6,1,7,0.143,2007,4
66,2011,1,1,2,5,1,1,0,0,0,1,1,1,2007,5
67,2007,2,4,10,17,2,2,0,0,4,2,6,0.667,2007,1
67,2008,2,3,22,29,10,4,0,0,6,4,10,0.3,2007,2
67,2009,0,0,5,8,0,3,0,0,0,3,3,0,2007,3
67,2010,2,1,9,14,2,5,0,0,0,5,5,0.2,2007,4
67,2011,2,4,8,13,1,5,0,0,0,5,5,0.8,2007,5
68,2007,1,1,9,14,4,1,0,0,4,1,5,0.2,2007,1
68,2008,0,0,7,11,3,2,0,0,2,2,4,0,2007,2
68,2009,3,5,18,30,5,4,0,0,6,4,10,0.5,2007,3
68,2010,3,2,16,26,1,4,0,0,4,4,8,0.25,2007,4
68,2011,1,1,13,21,1,1,0,0,3,4,7,0.143,2007,5
70,2007,0,0,4,8,0,0,0,0,2,0,2,0,2007,1
70,2008,0,0,4,8,0,0,0,0,2,0,2,0,2007,2
70,2009,2,3,8,20,0,1,0,0,4,2,6,0.5,2007,3
70,2010,2,3,11,19,1,0,0,0,2,4,6,0.5,2007,4
70,2011,0,0,3,7,0,0,0,0,2,0,2,0,2007,5
73,2007,0,0,7,12,1,2,0,1,0,2,3,0,2007,1
73,2008,0,0,2,4,0,0,0,1,0,0,1,0,2007,2
73,2009,0,0,4,9,1,0,0,2,0,0,2,0,2007,3
73,2010,0,0,5,10,1,1,0,1,0,1,2,0,2007,4
73,2011,1,3,2,4,0,1,0,0,0,1,1,3,2007,5
74,2007,2,6,3,7,0,2,0,0,0,2,2,3,2007,1
74,2008,2,5,5,10,0,2,0,0,0,2,2,2.5,2007,2
74,2009,1,3,4,10,0,2,0,1,0,2,3,1,2007,3
74,2010,1,6,3,9,1,1,0,0,0,1,1,6,2007,4
74,2011,1,1,7,18,2,2,0,0,1,2,3,0.333,2007,5
75,2007,0,0,8,16,3,1,0,0,2,1,3,0,2007,1
75,2008,1,1,8,11,4,0,0,0,0,4,4,0.25,2007,2
75,2009,3,6,14,25,2,0,0,0,1,4,5,1.2,2007,3
75,2010,1,1,10,23,2,1,0,0,3,2,5,0.2,2007,4
75,2011,1,5,2,8,0,1,0,0,0,2,2,2.5,2007,5
76,2007,1,1,2,8,0,2,0,0,0,2,2,0.5,2007,1
76,2008,0,0,3,4,1,0,0,0,1,0,1,0,2007,2
76,2009,0,0,3,7,1,1,0,0,1,1,2,0,2007,3
76,2010,0,0,1,4,0,1,0,0,0,1,1,0,2007,4
76,2011,0,0,1,3,0,1,0,0,0,1,1,0,2007,5
80,2007,1,1,4,15,0,3,0,0,0,4,4,0.25,2007,1
80,2008,0,0,1,4,0,0,0,0,1,0,1,0,2007,2
80,2009,0,0,1,3,0,1,0,0,0,1,1,0,2007,3
80,2010,0,0,2,4,1,1,0,0,0,1,1,0,2007,4
80,2011,0,0,6,6,0,2,0,0,0,2,2,0,2007,5
82,2007,1,1,5,10,0,1,0,1,2,0,3,0.333,2007,1
82,2008,3,3,10,19,0,0,0,0,4,1,5,0.6,2007,2
82,2009,5,7,20,46,2,3,0,1,5,3,9,0.778,2007,3
82,2010,4,5,37,78,3,1,0,1,13,2,16,0.313,2007,4
82,2011,1,1,11,27,0,3,0,3,1,1,5,0.2,2007,5
84,2007,4,8,10,32,1,1,2,1,6,0,9,0.889,2007,1
84,2008,5,8,21,65,3,1,0,1,8,7,16,0.5,2007,2
84,2009,6,7,28,77,6,3,0,2,14,3,19,0.368,2007,3
84,2010,0,0,25,59,6,3,0,0,9,7,16,0,2007,4
84,2011,1,1,12,32,4,0,0,0,5,3,8,0.125,2007,5
87,2007,2,3,14,25,2,4,0,0,0,6,6,0.5,2007,1
87,2008,1,2,10,22,1,4,0,0,1,4,5,0.4,2007,2
87,2009,2,2,6,12,0,3,0,0,0,3,3,0.667,2007,3
87,2010,2,4,7,17,0,3,0,0,0,4,4,1,2007,4
87,2011,2,2,7,15,1,0,0,2,1,1,4,0.5,2007,5
88,2007,1,2,15,23,4,0,0,0,8,3,11,0.182,2007,1
88,2008,0,0,8,7,4,0,0,0,3,1,4,0,2007,2
88,2009,0,0,24,17,13,0,0,0,6,5,11,0,2007,3
88,2010,1,1,7,11,3,0,0,0,2,2,4,0.25,2007,4
88,2011,2,5,28,38,11,1,0,0,11,4,15,0.333,2007,5
89,2007,0,0,7,16,0,0,0,0,4,0,4,0,2007,1
89,2008,3,7,22,46,5,0,0,0,9,1,10,0.7,2007,2
89,2009,5,10,18,33,4,2,0,0,4,2,6,1.667,2007,3
