clave,affiliations,intl_afil,authors,docs,book,chapter,conference,journal,q1q2,cites_3y,q3q4
1-2007,10,0,22,1,0,0,0,4,4,2,0
1-2008,11,2,23,2,0,0,0,5,2,2,3
1-2009,6,1,14,1,0,0,0,2,1,2,1
1-2010,32,18,59,6,0,0,0,8,6,6,2
1-2011,3,0,5,0,0,0,0,1,1,0,0
1-2012,7,3,20,0,0,0,0,3,3,0,0
1-2013,9,2,23,1,0,0,0,3,2,1,1
1-2014,6,0,12,0,0,0,0,2,1,0,1
2-2007,4,0,8,0,0,0,0,2,2,0,0
2-2008,14,0,21,1,0,1,3,2,2,2,0
2-2009,15,1,25,3,0,1,3,2,3,3,0
2-2010,14,0,22,0,0,0,3,2,1,0,1
2-2011,7,0,9,0,0,0,1,1,1,0,0
2-2012,19,0,33,1,1,0,0,6,4,3,2
2-2013,7,0,13,2,0,0,0,3,2,4,1
2-2014,13,0,23,1,0,0,0,5,3,1,2
3-2007,10,7,21,2,0,0,0,3,3,2,0
3-2008,8,2,14,1,0,0,0,3,3,3,0
3-2009,24,19,31,2,0,0,1,2,2,2,0
3-2010,8,3,18,3,0,0,0,3,2,3,1
3-2011,4,2,9,1,0,0,0,1,1,5,0
3-2012,13,4,38,3,0,0,0,6,5,4,1
3-2013,23,1,45,3,0,0,1,7,7,8,0
3-2014,8,3,13,1,0,0,0,2,1,4,1
4-2007,0,0,0,0,0,0,0,0,0,0,0
4-2008,19,5,31,3,0,0,2,3,3,6,0
4-2009,4,0,6,1,0,0,0,1,0,2,1
4-2010,9,0,18,2,0,0,1,2,2,2,0
4-2011,13,2,18,1,0,2,0,2,1,1,1
4-2012,9,0,13,1,0,0,0,2,1,2,1
4-2013,5,1,10,1,0,0,0,2,2,3,0
4-2014,0,0,0,0,0,0,0,0,0,0,0
5-2007,1,0,5,0,0,0,1,0,0,0,0
5-2008,11,1,24,1,0,0,0,4,3,2,1
5-2009,0,0,0,0,0,0,0,0,0,0,0
5-2010,8,2,16,1,0,0,0,3,2,2,1
5-2011,1,0,5,0,0,0,0,1,1,0,0
5-2012,0,0,0,0,0,0,0,0,0,0,0
5-2013,4,0,7,0,0,0,0,1,1,0,0
5-2014,0,0,0,0,0,0,0,0,0,0,0
6-2007,9,1,18,3,0,0,4,3,3,5,0
6-2008,21,4,30,5,0,0,5,4,1,8,3
6-2009,17,7,20,4,0,1,4,3,3,3,0
6-2010,11,4,20,4,0,0,4,2,1,5,1
6-2011,8,3,11,1,0,0,3,1,1,2,0
6-2012,1,0,3,0,0,0,0,1,1,0,0
6-2013,1,0,2,0,0,0,0,1,0,0,1
6-2014,3,0,4,0,0,0,2,0,0,0,0
7-2007,6,1,20,2,0,0,0,3,3,2,0
7-2008,25,2,82,5,0,0,0,14,4,6,10
7-2009,14,0,43,6,0,0,0,7,7,7,0
7-2010,30,0,82,5,0,1,5,7,7,9,0
7-2011,19,0,51,1,0,2,0,5,5,2,0
7-2012,46,3,118,2,0,0,0,23,8,3,15
7-2013,6,4,16,1,0,0,0,2,2,1,0
7-2014,39,2,102,1,0,2,2,15,3,1,12
8-2007,0,0,0,0,0,0,0,0,0,0,0
8-2008,1,0,4,0,0,0,0,1,1,0,0
8-2009,2,0,4,0,0,0,0,1,1,0,0
8-2010,0,0,0,0,0,0,0,0,0,0,0
8-2011,8,1,18,1,0,0,0,3,2,1,1
8-2012,8,0,17,2,0,0,0,3,1,2,2
8-2013,3,0,6,0,0,0,1,1,1,0,0
8-2014,2,0,3,1,0,0,1,0,0,1,0
9-2007,3,0,4,0,0,0,0,1,1,0,0
9-2008,0,0,0,0,0,0,0,0,0,0,0
9-2009,1,0,5,0,0,0,0,1,1,0,0
9-2010,1,0,3,0,0,0,1,0,0,0,0
9-2011,9,0,17,3,0,0,0,4,4,9,0
9-2012,12,0,26,3,0,0,0,6,5,14,1
9-2013,14,1,33,4,0,0,1,6,5,7,1
9-2014,13,3,29,0,0,1,0,4,3,0,1
10-2007,0,0,0,0,0,0,0,0,0,0,0
10-2008,0,0,0,0,0,0,0,0,0,0,0
10-2009,2,0,6,0,0,0,0,1,1,0,0
10-2010,0,0,0,0,0,0,0,0,0,0,0
10-2011,5,0,11,0,0,0,0,2,2,0,0
10-2012,5,0,11,0,0,0,0,2,2,0,0
10-2013,0,0,0,0,0,0,0,0,0,0,0
10-2014,0,0,0,0,0,0,0,0,0,0,0
11-2007,2,0,6,1,0,0,0,1,0,1,1
11-2008,14,0,29,1,0,0,0,5,5,2,0
11-2009,11,0,31,0,0,0,0,4,3,0,1
11-2010,13,2,23,2,0,0,0,3,3,1,0
11-2011,8,2,14,1,0,0,0,2,1,3,1
11-2012,3,1,7,0,0,0,0,1,0,0,1
11-2013,0,0,0,0,0,0,0,0,0,0,0
11-2014,16,0,37,4,0,0,0,5,4,8,1
12-2007,2,0,6,0,0,0,0,1,1,0,0
12-2008,0,0,0,0,0,0,0,0,0,0,0
12-2009,2,0,6,0,0,0,0,1,0,0,1
12-2010,0,0,0,0,0,0,0,0,0,0,0
12-2011,0,0,0,0,0,0,0,0,0,0,0
12-2012,0,0,0,0,0,0,0,0,0,0,0
12-2013,0,0,0,0,0,0,0,0,0,0,0
12-2014,6,1,9,1,0,0,0,1,0,1,1
13-2007,0,0,0,0,0,0,0,0,0,0,0
13-2008,7,0,29,4,0,0,0,5,5,7,0
13-2009,4,0,9,1,0,0,0,2,2,2,0
13-2010,5,0,11,0,0,0,0,2,2,0,0
13-2011,2,0,5,0,0,0,0,1,1,0,0
13-2012,2,0,5,1,0,0,0,1,1,4,0
13-2013,0,0,0,0,0,0,0,0,0,0,0
13-2014,8,0,15,1,0,0,0,3,3,1,0
14-2007,3,1,7,1,0,0,0,1,1,1,0
14-2008,12,5,38,4,0,0,0,6,6,7,0
14-2009,5,2,15,2,0,0,0,3,2,5,1
14-2010,9,3,27,3,0,0,1,5,5,2,0
14-2011,0,0,0,0,0,0,0,0,0,0,0
14-2012,5,2,13,1,0,0,0,3,2,2,1
14-2013,5,1,15,2,0,0,1,2,2,1,0
14-2014,2,1,8,1,0,0,0,1,1,3,0
15-2007,7,0,20,4,0,2,1,3,0,9,3
15-2008,5,1,14,3,0,0,0,3,2,6,1
15-2009,14,1,27,2,0,4,0,2,2,4,0
15-2010,3,0,14,1,0,1,1,1,0,2,1
15-2011,4,0,19,3,0,0,0,4,1,8,3
15-2012,9,1,25,4,0,0,2,4,0,11,4
15-2013,13,1,24,6,0,0,0,7,3,11,4
15-2014,1,0,7,0,0,0,1,0,0,0,0
16-2007,4,0,6,0,0,0,0,2,2,0,0
16-2008,2,0,6,0,0,0,1,1,1,0,0
16-2009,7,4,10,1,0,0,1,1,1,1,0
16-2010,0,0,0,0,0,0,0,0,0,0,0
16-2011,3,0,3,0,0,0,0,2,2,0,0
16-2012,10,6,17,3,0,0,1,3,3,3,0
16-2013,3,1,8,2,0,0,0,2,2,5,0
16-2014,1,0,2,1,0,0,0,1,1,3,0
17-2007,0,0,0,0,0,0,0,0,0,0,0
17-2008,0,0,0,0,0,0,0,0,0,0,0
17-2009,0,0,0,0,0,0,0,0,0,0,0
17-2010,0,0,0,0,0,0,0,0,0,0,0
17-2011,0,0,0,0,0,0,0,0,0,0,0
17-2012,0,0,0,0,0,0,0,0,0,0,0
17-2013,0,0,0,0,0,0,0,0,0,0,0
17-2014,6,0,22,2,0,0,0,3,0,4,3
18-2007,5,0,12,0,0,0,0,2,2,0,0
18-2008,0,0,0,0,0,0,0,0,0,0,0
18-2009,2,0,16,0,0,0,1,0,0,0,0
18-2010,0,0,0,0,0,0,0,0,0,0,0
18-2011,0,0,0,0,0,0,0,0,0,0,0
18-2012,3,0,30,0,0,0,1,1,1,0,0
18-2013,0,0,0,0,0,0,0,0,0,0,0
18-2014,3,0,7,1,0,0,0,1,1,2,0
19-2007,0,0,0,0,0,0,0,0,0,0,0
19-2008,14,2,25,0,0,1,1,4,3,0,1
19-2009,7,3,13,0,0,1,1,2,2,0,0
19-2010,3,2,5,0,0,0,1,0,0,0,0
19-2011,5,2,14,0,0,0,2,0,0,0,0
19-2012,1,0,3,0,0,0,0,1,1,0,0
19-2013,26,4,49,3,1,0,4,8,4,4,4
19-2014,3,0,6,1,0,1,0,1,1,2,0
21-2007,3,0,3,2,0,0,0,3,3,2,0
21-2008,3,1,4,1,0,0,1,1,1,1,0
21-2009,0,0,0,0,0,0,0,0,0,0,0
21-2010,2,0,4,2,0,0,1,1,1,5,0
21-2011,3,0,6,3,0,0,0,3,3,8,0
